转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价格,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
晶瑞转债,123031,2019-09-26,晶瑞股份,300655, 石油然气化工,111.92,-0.70,-2.27,20.82,-3.57,39,18.9,18.38,6.12,13.3,113.28,-1.2,150.0,5.90,3.90,5.9,6.6,1.9,0.65,0.16,0.55,-1.88,-2.05,77.52,76.47,48.55,125.01,-10.5,125.01,2,18,0.83,2.44,-0.58,275,7.5,17
哈尔转债,128073,2019-09-11,哈尔斯,002615,其他,106.78,0.06,0.05,5.6,0.18,1.9,0.6,5.80,2.72,-3.4,96.55,10.6,144.0,4.88,2.88,13.1,12.6,3.0,1.68,1.10,1.56,-1.36,-1.51,85.90,87.42,23.58,111.00,-3.8,111.00,13,17,0.62,0.85,0.41,325,6.0,21
九洲转债,123030,2019-09-12,九洲电气,300040,能源电力,107.1,-0.37,-1.71,5.57,-3.30,2.2,0.7,5.70,0.99,-2.3,97.72,9.6,143.0,5.87,3.87,16.1,15.8,3.1,2.07,1.45,1.94,-0.73,-0.92,82.41,86.17,28.53,114.70,-6.6,114.70,8,18,0.63,1.39,-0.06,325,6.0,19
翔鹭转债,128072,2019-09-16,翔鹭钨业,002842,有色金属,113,-0.79,-4.00,15.27,-6.95,7.7,2.2,15.36,4.81,-0.6,99.41,13.7,142.0,5.87,3.87,7.2,7.2,3.0,0.38,-0.09,0.29,-2.09,-2.27,82.26,82.58,31.73,114.31,-1.1,114.31,11,18,0.69,0.32,1.06,325,6.0,19
英科转债,123029,2019-09-10,英科医疗,300677,医药,115.525,0.01,-0.45,15.59,-0.89,2.0,0.4,16.25,2.35,-4.1,95.94,20.4,140.0,5.86,3.86,15.2,14.6,4.7,3.27,2.22,3.06,-1.73,-2.09,85.57,99.62,21.99,121.61,-5.0,121.61,11,17,0.50,0.86,0.18,325,6.0,27
合兴转债,128071,2019-09-16,合兴包装,002228,造纸包装印刷,104.2,-0.86,-0.34,3.8,-2.31,44,7.0,4.38,1.58,-13.2,86.76,20.1,140.0,5.86,3.86,13.4,11.6,6.0,1.74,1.27,1.65,-0.14,-0.32,85.26,86.91,18.87,105.78,-1.5,105.78,17,18,0.52,0.45,0.59,200,5.0,13
欧派转债,113543,2019-09-04,欧派家居,603833,其他,120.25,-2.20,2.09,111.46,-0.15,37,2.0,101.46,5.94,9.9,109.86,9.5,140.0,5.86,4.86,3.2,3.5,15.0,-0.73,-1.19,-0.82,-2.58,-2.78,82.96,87.09,33.98,121.08,-0.7,121.08,20,16,0.75,0.60,0.89,200,5.0,18
好客转债,113542,2019-08-23,好莱客,603898,其他,106.65,-0.09,-0.37,14.6,-0.88,0.9,0.1,16.62,1.96,-12.2,87.85,21.4,123.0,5.82,3.82,13.9,12.2,6.3,1.37,0.89,1.28,-0.68,-0.87,85.62,87.27,18.61,105.88,0.7,105.88,18,17,0.53,0.01,1.04,200,5.0,20
荣晟转债,113541,2019-08-13,荣晟环保,603165,造纸包装印刷,106.67,0.68,0.51,18.31,1.78,10,2.9,18.72,2.55,-2.2,97.81,9.1,114.0,5.80,3.80,10.2,9.9,3.3,1.41,0.92,1.31,-0.64,-0.84,82.78,82.98,30.09,113.07,-5.7,113.07,12,18,0.67,1.28,0.11,325,6.0,36
南威转债,113540,2019-08-05,南威软件,603636,计算机及应用,117.5,-0.14,-3.51,11.53,-4.71,14,1.9,10.13,3.52,13.8,113.82,3.2,104.0,5.77,3.77,10.9,12.4,6.6,0.08,-0.47,-0.03,-3.06,-3.25,82.96,84.90,41.75,126.65,-7.2,126.65,2,18,0.77,1.86,-0.20,325,6.0,26
圣达转债,113539,2019-07-26,圣达生物,603079,医药,116.17,-0.09,-2.68,35.84,-3.21,20,5.7,28.78,4.94,24.5,124.53,-6.7,94.0,5.74,3.74,7.4,9.3,3.0,0.82,0.17,0.69,-2.64,-2.87,79.29,81.11,54.84,135.95,-14.5,135.95,2,17,0.86,3.69,-1.50,275,7.5,41
智能转债,128070,2019-07-23,智能自控,002877,机械装备制造,104.302,-2.22,-4.88,9.29,-9.98,19,8.0,9.55,4.73,-2.7,97.28,7.2,93.0,5.74,0,7.4,7.2,2.3,2.24,1.67,2.12,0,0,0,78.75,34.50,113.25,-7.9,113.25,2,18,0.71,1.44,0.05,275,7.5,29
安图转债,113538,2019-07-22,安图生物,603658,医药,132,1.65,-2.05,88.51,-0.45,24,2.7,64.11,19.44,38.1,138.06,-4.4,89.0,5.73,3.73,1.8,2.5,6.8,-2.40,-2.85,-2.49,-6.08,-6.24,85.82,87.48,57.77,145.25,-9.1,145.25,2,16,0.89,2.83,-0.79,200,5.0,27
华森转债,128069,2019-07-11,华森制药,002907,医药,104.803,0.22,0.12,16.1,0.63,0.8,0.3,18.08,7.10,-11.0,89.05,17.7,84.0,5.72,3.72,4.6,4.1,3.0,2.52,1.88,2.39,-0.20,-0.40,83.17,86.95,20.18,107.14,-2.2,107.14,14,16,0.55,0.32,0.78,325,6.0,31
清水转债,123028,2019-07-15,清水源,300437,城市公用设施,105.942,-0.40,-0.07,11.16,-0.80,3.2,0.6,11.95,1.68,-6.6,93.39,13.4,79.0,5.70,3.70,20.1,18.8,4.9,2.63,1.94,2.49,-0.16,-0.42,84.34,88.57,24.78,113.35,-6.5,113.35,10,18,0.58,1.32,-0.08,325,6.0,37
环境转债,113028,2019-07-08,上海环境,601200,城市公用设施,120,0.12,0.81,11.09,1.28,0.3,0.0,10.44,1.65,6.2,106.23,13.0,78.0,5.70,3.70,21.4,22.8,21.7,-1.38,-1.73,-1.45,-3.78,-3.95,87.43,86.76,30.30,117.06,2.5,117.06,22,16,0.72,0.05,1.39,300,4.5,24
华钰转债,113027,2019-07-10,华钰矿业,601020,有色金属,103.5,-0.19,-1.29,8.98,-2.81,5.8,0.9,10.17,2.24,-11.7,88.30,17.2,74.0,5.69,3.69,13.6,12.0,6.4,1.94,1.44,1.84,0.05,-0.14,86.08,87.73,18.46,106.19,-2.5,106.19,13,17,0.53,0.69,0.38,200,5.0,57
蓝晓转债,123027,2019-07-04,蓝晓科技,300487, 石油然气化工,119.2,-0.16,-1.11,34.91,-1.50,4.6,1.1,29.59,6.71,18.0,117.98,1.0,71.0,5.68,3.68,4.7,5.6,3.4,0.12,-0.49,-0.00,-3.30,-3.53,79.73,80.40,49.90,130.30,-8.5,130.30,2,17,0.85,2.04,-0.22,275,7.5,28
文灿转债,113537,2019-07-05,文灿股份,603348,汽车,104.28,-0.42,-0.83,18.38,-2.18,5.5,0.7,19.93,2.01,-7.8,92.22,13.1,68.0,5.68,3.68,19.8,18.2,8.0,2.87,2.18,2.73,0.16,-0.09,84.11,88.35,22.94,111.28,-6.3,111.28,9,17,0.57,1.28,-0.07,325,6.0,54
中环转债,123026,2019-07-01,中环环保,300692,城市公用设施,109.553,0.03,-0.79,12.47,-1.11,1.2,0.4,12.31,2.57,1.3,101.30,8.1,70.0,4.68,2.68,14.5,14.7,2.9,0.31,-0.13,0.22,-2.07,-2.29,87.61,85.05,29.35,114.40,-4.2,114.40,11,18,0.68,1.14,0.26,325,6.0,37
和而转债,128068,2019-07-01,和而泰,002402,电子,129.58,0.06,-0.64,12.66,-0.63,61,8.6,9.09,6.22,39.3,139.27,-7.0,65.0,5.66,3.66,5.1,7.0,5.5,-2.39,-2.79,-2.47,-5.68,-5.86,83.25,82.01,64.28,146.29,-11.4,146.29,2,16,0.92,3.37,-1.17,325,6.0,39
三星转债,113536,2019-06-24,三星新材,603578,家电,105.8,0.38,0.32,18.81,1.18,2.1,1.0,19.75,2.99,-4.8,95.24,11.1,60.0,5.65,3.65,11.4,10.9,1.9,1.55,1.05,1.45,-0.53,-0.72,86.24,87.90,23.82,111.73,-5.3,111.73,12,18,0.59,1.37,-0.11,200,5.0,44
大业转债,113535,2019-06-03,大业股份,603278,汽车,101.75,0.52,-1.17,10.28,-1.63,6.7,1.3,12.56,1.89,-18.2,81.85,24.3,39.0,4.59,2.59,16.8,13.7,5.0,2.44,1.89,2.33,0.18,0.02,89.46,91.00,11.75,102.75,-1.0,102.75,16,18,0.40,0.31,0.49,200,5.0,34
一心转债,128067,2019-05-17,一心堂,002727,医药,112.52,-0.86,-0.26,22.41,-2.44,1.0,0.1,27.28,3.02,-17.9,82.15,37.0,18.0,5.53,3.53,4.7,3.9,6.0,0.11,-0.32,0.02,-2.20,-2.39,86.72,86.87,14.10,100.97,11.4,100.97,32,16,0.46,-1.96,3.09,200,5.0,26
亚泰转债,128066,2019-05-14,亚泰国际,002811,建筑,107.003,0.00,-0.99,14.43,-1.50,2.2,0.4, 14.80,1.85,-2.5,97.50,9.7,16.0,5.53,3.53,18.5,18.0,4.8,1.83,1.24,1.71,-0.69,-0.91,84.37,86.15,26.45,112.60,-5.0,112.60,9,16,0.66,1.11,0.25,325,6.0,51
永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,98.46,-0.02,-0.46,4,-2.44,1.6,0.2,6.35,1.79,-37.0,62.99,56.3,15.0,5.53,3.53,19.7,12.4,9.8,2.96,2.44,2.85,1.46,1.25,86.85,88.53,5.04,93.57,5.2,93.57,26,17,0.20,-1.01,1.42,200,5.0,54
雅化转债,128065,2019-05-10,雅化集团,002497, 石油然气化工,98.659,-0.16,-0.05,6.15,-0.81,2.1,0.3,8.96,2.19,-31.4,68.64,43.7,15.0,5.53,3.53,13.6,9.3,8.0,2.25,1.86,2.17,1.40,1.19,86.85,85.47,7.84,93.31,5.7,93.31,25,16,0.26,-1.03,1.58,200,5.0,56
创维转债,127013,2019-05-16,创维数字,000810,电子,101.819,0.00,-0.61,8.58,-1.94,1.3,0.1,11.49,2.81,-25.3,74.67,36.4,12.0,5.52,3.52,11.4,8.5,10.4,2.81,2.20,2.69,0.53,0.33,86.87,90.83,8.63,99.46,2.4,99.46,20,16,0.31,-0.44,1.07,200,5.0,46
核能转债,113026,2019-05-08,中国核电,601985,能源电力,106.95,0.07,-0.41,5.29,-0.75,3.8,0.0,6.20,1.75,-14.7,85.32,25.3,12.0,5.52,3.52,9.5,8.1,78.0,0.52,0.18,0.45,-0.89,-1.07,89.66,88.92,13.00,101.93,4.9,101.93,20,15,0.47,-0.56,1.50,300,4.0,49
明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,107.55,-0.51,0.12,10.67,-0.65,2.4,0.1,11.30,0.98,-5.6,94.42,13.9,9.0,5.51,3.51,28.1,26.5,18.4,1.33,0.82,1.23,-0.96,-1.16,86.95,88.76,21.19,109.95,-2.2,109.95,14,16,0.59,0.67,0.53,200,5.0,67
鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,104.88,-0.96,-1.16,14.22,-3.66,16,1.2, 15.28,1.66,-6.9,93.06,12.7,8.0,5.51,3.51,20.5,19.1,12.5,1.77,1.26,1.67,-0.28,-0.48,86.94,88.61,20.26,108.87,-3.7,108.87,10,16,0.58,0.98,0.22,200,5.0,59
