序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低指数,热门度,转债名称.1
1,N百川转,128093,百川股份,2455,石油天然气化工,108.368,8.37%,0.00%,5.75,-1.20%,501.0,88.3%,130.3,6.0,2.23,95.83,13.1%,5月19天,5.95年,3.95年,17.5%,16.8%,5.2,30,3.24%,2.38%,-0.22%,-0.56%,84.80,93.12,24.92,118.05,-8.2%,39%,<2%,17%,0.57,AA-,6.0%,121,11,N百川转
2,新天转债,128091,新天药业,2873,医药,113.926,1.26%,0.35%,18.38,1.94%,46.0,23.0%,120.0,16.49,3.02,111.46,2.2%,5月16天,5.94年,3.94年,8.2%,9.2%,1.8,22,0.90%,0.31%,-1.97%,-2.20%,78.41,78.95,45.13,124.07,-8.2%,60%,<2%,16%,0.83,A+,7.5%,116,5,新天转债
3,N麦米转,128089,麦格米特,2851,电子,124.3,24.3%,0.00%,23.4,-2.17%,880.0,107%,113.3,20.31,5.82,115.21,7.9%,5月12天,5.93年,3.93年,6.0%,6.9%,6.6,110,-1.58%,-1.97%,-4.34%,-4.51%,81.96,80.74,44.16,124.9,-0.5%,63%,<2%,16%,0.83,AA-,6.0%,133,10,N麦米转
4,深南转债,128088,深南电路,2916,电子,129.95,0.35%,-0.77%,171.49,-0.53%,121.0,6.1%,115.1,149.25,13.19,114.9,13.1%,5月10天,5.92年,3.92年,2.6%,3.0%,15.0,582,-2.06%,-2.50%,-5.43%,-5.58%,85.00,86.64,38.46,125.1,3.9%,61%,22%,16%,0.79,AA,5.0%,145,26,深南转债
5,东风转债,113030,东风股份,601515,造纸包装印刷,114.25,-0.84%,0.29%,6.79,-0.88%,46.0,13.5%,117.3,6.9,2.21,98.41,16.1%,5月10天,5.92年,3.92年,3.3%,3.2%,3.0,91,0.45%,-0.06%,-2.34%,-2.51%,85.19,88.33,24.66,112.99,1.1%,37%,19%,16%,0.63,AA,5.0%,130,8,东风转债
6,淮矿转债,110065,淮北矿业,600985,煤炭,115.32,-0.16%,-0.98%,9.61,-1.84%,63.0,2.0%,111.0,9.93,1.14,96.78,19.2%,5月9天,5.92年,3.92年,13.2%,12.8%,28.0,209,-0.65%,-0.99%,-2.63%,-2.79%,88.28,88.34,21.92,110.27,4.6%,42%,22%,16%,0.62,AAA,4.0%,134,19,淮矿转债
7,日月转债,113558,日月股份,603218,机械装备制造,125.96,-0.76%,-1.97%,21.63,-3.65%,79.0,5.2%,115.3,19.68,3.57,109.91,14.6%,5月7天,5.92年,3.92年,10.4%,11.5%,12.0,115,-1.51%,-1.96%,-4.66%,-4.83%,85.20,86.84,34.26,121.1,4.0%,46%,20%,16%,0.75,AA,5.0%,142,20,日月转债
8,永创转债,113559,永创智能,603901,机械装备制造,120.22,-0.17%,-0.66%,12.73,-1.01%,41.0,6.7%,118.9,10.39,4.24,122.52,-1.9%,5月9天,5.92年,3.92年,9.1%,11.2%,5.1,56,-0.19%,-0.74%,-3.30%,-3.52%,83.01,84.93,49.05,133.99,-10.3%,40%,<2%,17%,0.83,AA-,6.0%,118,18,永创转债
9,建工转债,110064,重庆建工,600939,建筑,112.44,-0.48%,-0.15%,4.56,-1.08%,104.0,5.5%,120.2,4.65,1.24,98.06,14.7%,5月6天,5.91年,3.91年,20.1%,19.7%,17.0,83,1.16%,0.56%,-1.79%,-2.00%,87.51,93.17,21.95,115.12,-2.3%,47%,14%,16%,0.58,AA+,4.5%,127,30,建工转债
10,至纯转债,113556,至纯科技,603690,机械装备制造,139.88,-1.78%,1.98%,39.4,0.23%,46.0,9.2%,126.8,29.47,7.5,133.7,4.6%,5月6天,5.91年,3.91年,3.5%,4.7%,3.6,102,-1.68%,-2.40%,-6.92%,-7.11%,78.23,83.45,60.74,144.2,-3.0%,65%,16%,16%,0.89,A+,7.5%,146,10,至纯转债
11,振德转债,113555,振德医疗,603301,医药,145.02,16.5%,-8.00%,26.57,10.0%,468.0,76.9%,124.8,20.04,3.14,132.58,9.4%,5月5天,5.91年,3.91年,11.8%,15.7%,4.4,37,-2.56%,-3.23%,-7.76%,-7.95%,82.82,89.12,54.54,143.66,0.9%,56%,<2%,17%,0.84,AA-,6.0%,157,9,振德转债
12,森特转债,113557,森特股份,603098,建筑,112.21,0.56%,-2.09%,10.46,-2.24%,14.0,2.1%,120.7,10.26,2.5,101.95,10.1%,5月5天,5.91年,3.91年,11.9%,12.2%,6.0,50,1.27%,0.66%,-1.86%,-2.04%,82.25,86.12,30.95,117.07,-4.1%,45%,9%,17%,0.68,AA-,6.0%,122,7,森特转债
13,孚日转债,128087,孚日股份,2083,服装纺织,109.5,0.08%,0.79%,6.49,1.25%,24.0,3.4%,113.3,6.39,1.63,101.56,7.8%,5月3天,5.90年,3.90年,11.0%,11.2%,6.5,59,0.59%,0.18%,-1.32%,-1.49%,85.27,85.41,28.74,114.15,-4.1%,24%,12%,16%,0.7,AA,5.0%,117,20,孚日转债
