转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价格,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
金力转债,123033,,金力永磁,300748,电子,107,-2.08,2.45,40.59,0.57,189,40.1,41.20,14.35,-1.5,98.52,8.6,162.0,5.93,3.93,2.6,2.6,4.4,2.28,1.63,2.15,-0.37,-0.62,83.28,87.05,28.23,115.28,-7.2,115.28,11,16,0.66,1.56,-0.16,325,6.0,7
石英转债,113548,,石英股份,603688,电子,111.02,0.24,0.05,14.81,0.47,15,3.8,15.25,3.49,-2.9,97.11,14.3,156.0,5.92,3.92,7.2,7.0,3.6,2.04,1.32,1.89,-1.43,-1.65,82.74,89.04,26.49,115.53,-3.9,115.53,13,17,0.62,0.74,0.51,325,6.0,12
浦发转债,110059,,浦发银行,600000,金融,104.5,-0.31,0.28,12.06,-0.08,548,1.0,15.05,0.74,-19.9,80.13,30.4,159.0,5.92,0,14.1,11.3,500.0,2.09,1.55,1.98,0,0,0,93.91,11.14,105.05,-0.5,105.05,18,17,0.38,0.38,0.39,300,4.0,33
北方转债,127014,,北方国际,000065,建筑,107.061,0.05,-0.65,8.08,-1.10,8.2,1.3,8.84,1.35,-8.6,91.40,17.1,155.0,5.91,3.91,9.3,8.5,5.8,1.33,0.85,1.24,-0.69,-0.89,87.18,89.60,19.49,109.09,-1.9,109.09,15,17,0.55,0.66,0.45,375,4.5,14
索发转债,113547,,索通发展,603612,其他,107.81,0.38,-1.34,10.16,-1.65,57,5.7,10.67,1.38,-4.8,95.22,13.2,155.0,5.91,3.91,27.6,26.3,9.5,1.74,1.16,1.62,-0.79,-0.99,85.80,89.82,22.87,112.69,-4.3,112.69,11,17,0.58,1.09,0.12,200,5.0,10
迪贝转债,113546,,迪贝电气,603320,家电,99.6,0.10,-0.65,15.76,-0.94,10.0,4.4,18.45,2.46,-14.6,85.42,16.6,154.0,5.91,3.91,14.6,12.5,2.3,3.44,2.79,3.31,1.18,0.97,78.07,79.75,25.54,105.29,-5.4,105.29,11,18,0.58,0.56,0.62,275,7.5,14
英联转债,128079,,英联股份,002846,造纸包装印刷,105.7,1.84,2.53,14.07,5.63,57,25.7,13.54,4.31,3.9,103.91,1.7,152.0,5.90,3.90,7.8,8.1,2.1,1.90,1.36,1.79,-0.39,-0.58,77.77,77.61,40.73,118.34,-10.7,118.34,6,18,0.78,2.21,-0.49,275,7.5,15
太极转债,128078,,太极股份,002368,计算机及应用,124.115,-0.54,-0.76,33.6,-1.84,10,0.8,31.61,4.88,6.3,106.30,16.8,152.0,5.90,3.90,7.2,7.7,10.0,-0.97,-1.47,-1.07,-4.34,-4.50,85.28,88.42,30.52,118.94,4.4,118.94,22,16,0.71,-0.50,1.93,200,5.0,15
华夏转债,128077,,华夏航空,002928,交通运输,111.878,0.25,-1.17,10.67,-1.39,9.7,1.1,10.52,2.63,1.4,101.43,10.3,147.0,5.89,3.89,12.3,12.5,7.9,1.34,0.72,1.21,-1.77,-1.96,82.45,86.32,31.25,117.57,-4.8,117.57,11,18,0.67,1.08,0.29,325,6.0,23
金轮转债,128076,,金轮股份,002722,机械装备制造,104.2,-0.18,1.62,14.78,2.07,6.5,2.9,14.96,1.38,-1.2,98.80,5.5,145.0,5.88,3.88,8.3,8.2,2.1,1.77,1.29,1.67,-0.10,-0.28,82.18,82.38,30.48,112.86,-7.7,112.86,9,17,0.69,1.77,-0.27,325,6.0,19
金能转债,113545,,金能科技,603113,煤炭,104.94,-0.05,-0.84,10.3,-1.62,36,2.3,11.55,1.28,-10.8,89.18,17.7,143.0,5.88,3.88,21.5,19.2,15.0,1.64,1.17,1.55,-0.27,-0.45,85.36,87.00,19.76,106.76,-1.7,106.76,15,17,0.55,0.51,0.59,200,5.0,16
