转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
通光转债,123034,,通光线缆,300265,通信互联网,100.806,-0.23,-0.51,7.65,-1.03,20,6.7,7.98,2.52,-4.1,95.86,5.2,159.0,5.93,3.93,11.5,11.0,3.0,2.82,2.25,2.71,0.77,0.58,77.60,77.85,33.37,111.22,-9.4,111.22,2,17,0.71,1.70,-0.18,275,7.5,13
金力转债,123033,,金力永磁,300748,电子,105.6,-0.10,-0.98,39.59,-1.69,14,2.9,41.20,13.99,-3.9,96.09,9.9,158.0,5.92,3.92,2.7,2.6,4.4,2.52,1.86,2.39,-0.05,-0.30,83.33,87.10,26.45,113.56,-7.0,113.56,6,16,0.64,1.47,-0.11,325,6.0,10
石英转债,113548,,石英股份,603688,电子,112.14,0.00,0.13,15.41,0.20,7.9,2.0,15.25,3.63,1.0,101.05,11.0,152.0,5.91,3.91,6.9,7.0,3.6,1.86,1.15,1.72,-1.68,-1.90,82.79,89.09,29.23,118.32,-5.2,118.32,12,17,0.64,1.09,0.24,325,6.0,13
 路转债,110060,, 西藏路,600326,建筑,106.91,-0.29,-0.58,6.75,-1.46,84,7.3,7.24,1.71,-6.8,93.23,14.7,153.0,5.91,3.91,18.6,17.3,10.9,1.31,0.84,1.22,-0.73,-0.91,85.24,86.88,21.83,108.72,-1.7,108.72,14,16,0.60,0.53,0.67,200,5.0,7
浦发转债,110059,,浦发银行,600000,金融,104.35,-0.07,-0.08,11.91,-0.42,447,0.9,15.05,0.73,-20.9,79.14,31.9,155.0,5.91,0,14.3,11.3,500.0,2.12,1.57,2.01,0,0,0,93.94,10.58,104.52,-0.2,104.52,18,17,0.36,0.30,0.43,300,4.0,37
北方转债,127014,,北方国际,000065,建筑,107.1,-0.16,-0.17,7.96,-0.62,7.2,1.2,8.84,1.33,-10.0,90.05,18.9,151.0,5.90,3.90,9.4,8.5,5.8,1.33,0.85,1.23,-0.70,-0.90,87.22,89.64,18.55,108.19,-1.0,108.19,17,17,0.53,0.48,0.59,375,4.5,15
索发转债,113547,,索通发展,603612,其他,106.75,-0.24,0.41,9.89,0.30,58,5.7,10.67,1.34,-7.3,92.69,15.2,151.0,5.90,3.90,28.4,26.3,9.5,1.91,1.33,1.80,-0.54,-0.75,85.84,89.86,21.12,110.98,-3.8,110.98,13,17,0.56,0.96,0.19,200,5.0,11
迪贝转债,113546,,迪贝电气,603320,家电,99.06,-0.18,0.33,15.86,0.25,4.8,2.1,18.45,2.47,-14.0,85.96,15.2,150.0,5.90,3.90,14.5,12.5,2.3,3.54,2.90,3.41,1.32,1.11,78.13,79.81,25.87,105.68,-6.3,105.68,11,18,0.59,0.76,0.43,275,7.5,16
英联转债,128079,,英联股份,002846,造纸包装印刷,105.23,0.57,0.95,13.96,1.97,7.8,3.5,13.54,4.27,3.1,103.10,2.1,148.0,5.89,3.89,7.9,8.1,2.1,1.99,1.44,1.88,-0.28,-0.47,77.83,77.67,40.00,117.67,-10.6,117.67,2,18,0.77,2.17,-0.47,275,7.5,19
太极转债,128078,,太极股份,002368,计算机及应用,124.2,-0.24,1.29,34.17,1.45,19,1.6,31.61,4.96,8.1,108.10,14.9,148.0,5.89,3.89,7.1,7.7,10.0,-0.98,-1.49,-1.08,-4.36,-4.53,85.32,88.46,31.85,120.32,3.2,120.32,23,16,0.72,-0.25,1.70,200,5.0,15
