序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
1,N川投转,110061,川投能源,600674,能源电力,114.05,14.1%,0.00%,9.69,1.47%,1396.0,30.4%,9.92,1.63,-2.3%,97.68,16.8%,5月14天,5.94年,3.94年,9.4%,9.2%,40.0,-0.46%,-0.80%,-0.53%,-2.35%,-2.51%,88.20,88.27,22.66,110.93,2.8%,17%,<2%,16%,0.63,-0.03,1.29,AAA,4.0%,9,N川投转
2,通光转债,123034,通光线缆,300265,通信互联网,101.28200000000001,0.47%,0.96%,7.8,1.96%,29.0,9.7%,7.98,2.57,-2.3%,97.74,3.6%,5月7天,5.92年,3.92年,11.3%,11.0%,3.0,2.74%,2.17%,2.63%,0.66%,0.46%,77.63,77.89,34.76,112.65,-10.1%,50%,5%,17%,0.73,1.94,-0.35,A+,7.5%,13,通光转债
3,金力转债,123033,金力永磁,300748,电子,105.06,-0.51%,-1.57%,38.22,-3.46%,13.0,2.8%,41.2,13.51,-7.2%,92.77,13.3%,5月6天,5.92年,3.92年,2.8%,2.6%,4.4,2.61%,1.95%,2.48%,0.08%,-0.17%,83.36,87.13,23.93,111.07,-5.4%,83%,8%,16%,0.6,1.08,0.16,AA-,6.0%,10,金力转债
4,石英转债,113548,石英股份,603688,电子,115.01,2.56%,0.37%,16.07,4.28%,12.0,2.9%,15.25,3.79,5.4%,105.38,9.1%,5月0天,5.90年,3.90年,6.6%,7.0%,3.6,1.42%,0.71%,1.28%,-2.30%,-2.51%,82.82,89.13,32.34,121.47,-5.3%,52%,11%,17%,0.68,1.21,0.2,AA-,6.0%,13,石英转债
5,天路转债,110060,西藏天路,600326,建筑,107.08,0.16%,0.47%,6.82,1.04%,80.0,6.9%,7.24,1.73,-5.8%,94.2,13.7%,5月1天,5.90年,3.90年,18.4%,17.3%,10.9,1.28%,0.81%,1.19%,-0.77%,-0.95%,85.27,86.91,22.46,109.37,-2.1%,46%,15%,16%,0.6,0.64,0.58,AA,5.0%,7,天路转债
6,浦发转债,110059,浦发银行,600000,金融,104.33,-0.02%,-0.10%,11.87,-0.34%,345.0,0.7%,15.05,0.73,-21.1%,78.87,32.3%,5月3天,5.90年,无权,14.4%,11.3%,500.0,2.13%,1.58%,2.02%,无权,无权,无权,93.97,10.42,104.38,-0.1%,22%,18%,17%,0.36,0.28,0.44,AAA,4.0%,37,浦发转债
7,北方转债,127014,北方国际,65,建筑,107.14299999999999,0.04%,-0.04%,7.96,0.00%,4.8,0.8%,8.84,1.33,-10.0%,90.05,19.0%,4月29天,5.89年,3.89年,9.4%,8.5%,5.8,1.32%,0.84%,1.23%,-0.72%,-0.91%,87.25,89.67,18.53,108.19,-1.0%,50%,17%,17%,0.53,0.48,0.59,AA+,4.5%,15,北方转债
8,索发转债,113547,索通发展,603612,其他,106.5,-0.23%,-0.21%,9.81,-0.81%,12.0,1.2%,10.67,1.33,-8.1%,91.94,15.8%,4月29天,5.89年,3.89年,28.6%,26.3%,9.5,1.96%,1.38%,1.84%,-0.49%,-0.70%,85.87,89.89,20.57,110.46,-3.6%,63%,13%,17%,0.55,0.91,0.22,AA,5.0%,11,索发转债
9,迪贝转债!,113546,迪贝电气,603320,家电,98.99,-0.07%,0.03%,15.85,-0.06%,5.5,2.4%,18.45,2.47,-14.1%,85.91,15.2%,4月28天,5.89年,3.89年,14.5%,12.5%,2.3,3.56%,2.91%,3.43%,1.34%,1.13%,78.17,79.84,25.8,105.64,-6.3%,55%,11%,18%,0.58,0.77,0.43,A+,7.5%,17,迪贝转债!
10,英联转债,128079,英联股份,2846,造纸包装印刷,105.95,0.68%,0.21%,14.12,1.15%,11.0,4.9%,13.54,4.32,4.3%,104.28,1.6%,4月26天,5.89年,3.89年,7.8%,8.1%,2.1,1.87%,1.32%,1.76%,-0.45%,-0.64%,77.87,77.7,40.94,118.64,-10.7%,65%,<2%,18%,0.78,2.22,-0.5,A+,7.5%,20,英联转债
