序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
1,福特转债,113551,福斯特,603806,能源电力,124.12,2.46%,-1.13%,44.82,1.82%,47.0,3.5%,115.3,41.04,3.94,109.21,13.7%,5月9天,5.93年,3.93年,4.7%,5.1%,11.0,-1.26%,-1.71%,-1.35%,-4.31%,-4.47%,85.16,86.8,34.53,121.33,2.3%,40%,20%,17%,0.73,AA,5.0%,7,福特转债
2,顺丰转债,128080,顺丰控股,2352,交通运输,115.2,0.56%,-0.16%,36.8,0.71%,304.0,4.6%,109.2,40.41,4.09,91.07,26.5%,5月9天,5.93年,3.93年,3.6%,3.3%,58.0,-0.91%,-1.19%,-0.96%,-2.90%,-3.00%,87.11,86.77,18.09,104.85,9.9%,32%,30%,16%,0.55,AAA,4.0%,10,顺丰转债
3,常汽转债,113550,常熟汽饰,603035,汽车,109.55,-0.02%,0.63%,10.2,0.89%,261.0,24.0%,121.8,9.93,1.09,102.72,6.7%,5月9天,5.93年,3.93年,34.7%,35.7%,9.9,1.84%,1.20%,1.71%,-1.11%,-1.33%,82.72,86.89,31.66,118.55,-7.6%,39%,8%,17%,0.68,AA-,6.0%,13,常汽转债
4,白电转债,113549,白云电器,603861,能源电力,103.54,0.04%,0.76%,8.45,1.32%,31.0,3.4%,115.1,8.99,1.64,93.99,10.2%,5月8天,5.92年,3.92年,23.0%,21.7%,8.8,1.83%,1.37%,1.74%,0.01%,-0.16%,85.01,86.65,22.39,109.03,-5.0%,45%,11%,16%,0.6,AA,5.0%,10,白电转债
5,利德转债,123035,利亚德,300296,电子,113.71,-0.18%,0.43%,6.62,0.46%,47.0,5.2%,115.6,7.04,2.02,94.03,20.9%,5月7天,5.92年,3.92年,4.8%,4.5%,8.0,0.28%,-0.19%,0.19%,-2.16%,-2.35%,87.15,89.57,21.24,110.8,2.6%,62%,22%,17%,0.56,AA+,4.5%,12,利德转债
6,川投转债,110061,川投能源,600674,能源电力,116.45,0.63%,-0.63%,9.81,0.00%,50.0,1.1%,111.0,9.92,1.65,98.89,17.8%,5月2天,5.91年,3.91年,9.3%,9.2%,40.0,-0.82%,-1.16%,-0.89%,-2.87%,-3.03%,88.31,88.38,23.46,111.84,4.1%,17%,19%,16%,0.64,AAA,4.0%,13,川投转债
7,通光转债,123034,通光线缆,300265,通信互联网,102.6,0.79%,0.35%,7.71,1.58%,10.0,3.5%,118.5,7.98,2.54,96.62,6.2%,4月25天,5.89年,3.89年,11.4%,11.0%,3.0,2.52%,1.96%,2.41%,0.34%,0.15%,77.81,78.07,33.74,111.81,-8.2%,50%,7%,17%,0.72,A+,7.5%,19,通光转债
8,金力转债,123033,金力永磁,300748,电子,110.18299999999999,-0.74%,-0.50%,42.7,-1.75%,17.0,3.6%,121.9,41.2,15.09,103.64,6.3%,4月24天,5.88年,3.88年,2.5%,2.6%,4.4,1.78%,1.12%,1.65%,-1.10%,-1.35%,83.51,87.29,31.84,119.13,-7.5%,82%,<2%,16%,0.7,AA-,6.0%,13,金力转债
9,石英转债,113548,石英股份,603688,电子,122.06,1.34%,0.87%,17.31,2.97%,13.0,3.0%,124.8,15.25,4.08,113.51,7.5%,4月18天,5.87年,3.87年,6.2%,7.0%,3.6,0.39%,-0.32%,0.25%,-3.76%,-3.97%,82.98,89.29,38.61,127.9,-4.6%,52%,13%,17%,0.74,AA-,6.0%,13,石英转债
10,天路转债,110060,西藏天路,600326,建筑,111.38,1.15%,-0.61%,7.05,0.86%,18.0,1.5%,115.3,7.24,1.79,97.38,14.4%,4月19天,5.87年,3.87年,17.8%,17.3%,10.9,0.60%,0.13%,0.51%,-1.75%,-1.92%,85.40,87.04,24.54,111.59,-0.2%,46%,16%,16%,0.64,AA,5.0%,9,天路转债
