序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
1,N鸿达转,128085,鸿达兴业,2002,石油天然气化工,113.56,13.6%,0.00%,4.16,-2.80%,1697.0,60.9%,124.8,3.98,1.64,104.52,8.6%,5月15天,5.94年,3.94年,22.5%,23.6%,24.0,108,1.63%,0.93%,-2.07%,-2.27%,85.54,93.95,26.65,120.6,-5.8%,43%,<2%,16%,0.64,AA,5.0%,10,N鸿达转
2,明阳转债,113029,明阳智能,601615,能源电力,123.59,0.03%,0.45%,13.42,0.68%,333.0,15.9%,113.3,12.66,3.02,106.0,16.6%,5月15天,5.94年,3.94年,9.2%,9.7%,17.0,185,-1.48%,-1.87%,-4.20%,-4.37%,85.13,85.27,33.0,118.28,4.5%,59%,25%,17%,0.72,AA,5.0%,18,明阳转债
3,金牌转债,113553,金牌厨柜,603180,其他,121.25,-1.02%,0.29%,66.0,-1.05%,82.0,17.2%,124.6,62.69,4.25,105.28,15.2%,5月12天,5.93年,3.93年,8.8%,9.3%,3.9,44,0.47%,-0.22%,-3.69%,-3.87%,82.20,88.81,31.57,120.38,0.7%,50%,19%,16%,0.7,AA-,6.0%,5,金牌转债
4,鹰19转债,110063,山鹰纸业,600567,造纸包装印刷,122.4,0.07%,-2.32%,3.57,-3.25%,109.0,4.8%,116.2,3.3,1.18,108.18,13.1%,5月12天,5.93年,3.93年,11.4%,12.3%,19.0,164,-0.89%,-1.36%,-4.03%,-4.19%,86.58,89.9,31.1,121.0,1.2%,29%,16%,17%,0.69,AA+,4.5%,28,鹰19转债
5,新北转债,128083,新北洋,2376,电子,121.46,-0.28%,-0.11%,12.57,-0.55%,11.0,1.0%,115.2,11.9,2.55,105.63,15.0%,5月11天,5.93年,3.93年,10.5%,11.1%,8.8,84,-0.90%,-1.35%,-3.82%,-3.98%,85.08,86.72,31.79,118.51,2.5%,39%,22%,17%,0.7,AA,5.0%,12,新北转债
6,华锋转债,128082,华锋股份,2806,电子,114.745,-1.01%,-1.29%,14.56,-2.93%,35.0,8.7%,122.0,13.17,2.04,110.55,3.8%,5月3天,5.90年,3.90年,13.7%,15.2%,3.5,26,1.07%,0.43%,-2.16%,-2.40%,78.61,80.46,44.84,125.3,-8.4%,74%,<2%,18%,0.78,A+,7.5%,12,华锋转债
7,烽火转债,110062,烽火通信,600498,通信互联网,126.32,-1.14%,-0.77%,26.78,-2.83%,37.0,1.0%,111.0,25.99,3.06,103.04,22.6%,4月29天,5.90年,3.90年,9.8%,10.1%,31.0,314,-2.20%,-2.53%,-4.82%,-4.97%,88.35,88.42,26.48,114.89,9.9%,37%,30%,16%,0.67,AAA,4.0%,14,烽火转债
8,克来转债,113552,克来机电,603960,机械装备制造,125.18,-0.33%,-1.40%,31.23,-2.10%,4.2,1.9%,118.5,27.86,10.06,112.1,11.7%,5月1天,5.90年,3.90年,3.3%,3.7%,1.8,55,-0.94%,-1.48%,-4.35%,-4.56%,78.30,78.13,46.46,124.59,0.5%,56%,17%,17%,0.83,A+,7.5%,6,克来转债
9,海亮转债,128081,海亮股份,2203,有色金属,116.0,-0.05%,-0.08%,10.26,-0.19%,50.0,1.4%,115.2,9.83,2.37,104.37,11.1%,4月19天,5.87年,3.87年,15.7%,16.4%,32.0,200,-0.12%,-0.58%,-2.76%,-2.93%,85.32,86.97,30.62,117.59,-1.3%,28%,16%,17%,0.69,AA,5.0%,17,海亮转债
10,福特转债,113551,福斯特,603806,能源电力,129.88,-0.05%,-0.08%,49.87,-0.16%,17.0,1.2%,115.3,41.04,4.38,121.52,6.9%,4月14天,5.86年,3.86年,4.2%,5.1%,11.0,261,-2.05%,-2.49%,-5.46%,-5.63%,85.45,87.1,44.39,131.49,-1.2%,40%,16%,17%,0.81,AA,5.0%,7,福特转债
